"Active","Включено"
"Options","Опции"
"Username","Имя Пользователя"
"Token","Токен"
"Sender Name","Имя Отправителя"
"SMS History","История СМС"
"SMS Send","Отправить СМС"
"Template","Шаблон"
"SY_SMS:Telephone","Телефон"
"Message","Сообщение"
"Send","Отправить"
"Stream","Канал"
"Templates","Шаблоны"
"Variables","Переменные"
"External ID","Внешний ID"
"Reciver","Получатель"
"Recived","Получено"
"Sent","Отправлено"
"Templates Management","Управление Шаблонами"
"Variables Management","Управление Переменными"
"Add Template","Добавить Шаблон"
"Add Variable","Добавить Переменную"
"Label","Название"
"Identifier","Идентификатор"
"Model","Модель"
"General Information","Основная Информация"
"Edit Template '%s'","Редкатирование Шаблона '%s'"
"Edit Variable '%s'","Редкатирование Переменной '%s'"
"Sales","Заказы"
"Path","Путь"
"Template was saved successfully","Шаблон был успешно сохранён"
"Template was deleted successfully","Шаблон был успешно удалён"
"Unable to find item to save","Невозможно сохранить"
"Variable was saved successfully","Переменная была успешно сохранена"
"Variable was deleted successfully","Переменная была успешно удалена"
"Variable Information","Информация Переменной"
"Template Information","Информация Шаблона"
"Billing Telephone: %s","Телефон Покупателя: %s"
"Shipping Telephone: %s","Телефон Получателя: %s"
"SMS","СМС"
"Developer","Разработчик"
"Send Message","Отправить Сообщение"
"SMS Information","СМС Информация"
"Gateway not take the request","Шлюз не принял запрос"
"Message was sent successfully","Сообщение успешно отправлено"
"SMS: %s (Shipping Address Telephone)","СМС: %s (Телефон Получателя)"
"SMS: %s (Billing Address Telephone)","СМС: %s (Телефон Покупателяя)"
"Country Code","Код Страны"
"Will be prepend to the phone number","Будет приставлено к номеру телефона перед отсылкой"
"Symbols:","Символы:"
"Messages:","Сообщения:"
"Per Message","На Сообщение"
"Length","Длина"
"Automatic Events","Автоматические События"
"Place Order","Размещение Заказа"
"Place Order Telephone","Телефон Размещённого Заказа"
"Shipping Address","Получателя"
"Billing Address","Покупателя"
"Registration","Регистрация"
